"year","open","close","period","next_open","cum_days","T_qui","N_inc","G_cal","N_dut","G_bul","G_the","G_sac","G_glu","G_rubw","G_inf","O_uni","G_sip","G_sci","G_uvu"
1998,1998-09-20,1998-10-07,17,1,322,80,40.89,35.56,26.67,26.67,81.78,46.22,44.44,71.11,0,1.78,16,8.89,32
1998,1998-10-08,1998-10-25,17,1,340,391.11,577.78,117.33,35.56,12.44,53.33,37.33,26.67,55.11,3.56,0,0,7.11,7.11
1998,1998-10-26,1998-11-12,17,1,358,462.22,314.66,26.67,3.56,8.89,65.78,24.89,8.89,103.11,7.11,1.78,1.78,3.56,71.11
1998,1998-11-13,1998-11-30,17,1,376,35.56,355.55,168.89,44.44,177.78,17.78,35.56,71.11,83.56,124.44,1.78,17.78,8.89,5.33
1998,1998-12-01,1998-12-18,17,1,394,142.22,305.77,106.67,3.56,177.78,46.22,12.44,320,69.33,151.11,28.44,8.89,5.33,8.89
1998,1998-12-19,1999-01-05,17,1,412,195.56,247.11,135.11,0,14.22,49.78,3.56,224,21.33,7.11,0,1.78,0,3.56
1999,1999-01-06,1999-01-23,17,1,430,97.78,320,44.44,0,76.44,48,8.89,92.44,8.89,19.56,5.33,0,0,3.56
1999,1999-01-24,1999-02-10,17,1,448,222.22,604.45,92.44,0,39.11,51.56,39.11,56.89,5.33,12.44,5.33,0,0,0
1999,1999-02-11,1999-02-28,17,1,466,195.56,707.56,53.33,0,48,33.78,17.78,0,0,0,0,0,0,0
1999,1999-03-01,1999-03-18,17,1,484,622.22,510.22,26.67,0,72.89,136.89,26.67,35.56,0,0,0,0,0,0
1999,1999-03-19,1999-04-05,17,1,502,391.11,302.22,71.11,0,58.67,229.33,8.89,17.78,0,5.33,0,0,0,0
1999,1999-04-06,1999-04-23,17,1,520,551.11,433.78,44.44,0,60.44,190.22,17.78,28.44,0,1.78,1.78,0,0,0
1999,1999-04-24,1999-05-11,17,1,538,2782.22,1320.89,133.33,0,55.11,76.44,0,35.56,0,0,0,0,0,0
1999,1999-05-12,1999-05-29,17,1,556,4666.67,188.45,195.56,17.78,64,42.67,3.56,10.67,0,0,1.78,0,0,0
1999,1999-05-30,1999-06-16,17,1,574,711.11,302.22,62.22,488.89,284.44,16,0,3.56,0,10.67,0,7.11,7.11,0
1999,1999-06-17,1999-07-04,17,1,592,800,748.44,44.44,311.11,215.11,26.67,0,35.56,0,37.33,0,0,0,0
1999,1999-07-05,1999-07-22,17,1,610,1688.89,657.78,90.67,364.44,115.56,17.78,10.67,0,0,7.11,1.78,3.56,3.56,0
1999,1999-07-23,1999-08-09,17,NA,628,80,67.56,12.44,32,7.11,8.89,3.56,0,0,5.33,1.78,0,5.33,0
