"year","open","close","period","next_open","cum_days","G_bul","G_sip","N_inc","G_inf","G_tru","O_uni","G_rubw","G_sac","G_glu","T_qui","N_pac","G_rubp","B_dig"
2000,2000-04-16,2000-05-15,29,17,2387,199.6,4.2,112.5,2.1,48.8,0,0,0,0,2.123142251,0,0,0
2000,2000-06-01,2000-06-29,28,2,2432,72.2,2.1,55.2,0,63.7,6.4,0,0,0,0,0,0,0
2000,2000-07-01,2000-07-30,29,2,2463,22.6,0,26.7,0,113,16.4,0,10.27326895,2.054653791,0,0,0,0
2000,2000-08-01,2000-08-30,29,32,2494,8.2,0,32.9,0,78.1,0,0,2.054653791,0,0,0,0,0
2000,2000-10-01,2000-10-30,29,47,2555,4.5,0,6.4,0.6,10.9,5.8,0,4.494555167,0,0,0,0,0
2000,2000-12-16,2001-01-14,29,2,2631,63.7,2.1,41.1,8.2,82.2,2.1,2.054653791,2.054653791,0,0,0,0,2.054653791
2001,2001-01-16,2001-02-14,29,2,2662,71.9,4.1,90.4,16.4,295.9,10.3,2.054653791,0,2.054653791,0,0,0,0
2001,2001-02-16,2001-03-14,26,2,2690,104.6,9.1,163.8,43.2,382.2,6.8,2.274795268,0,0,0,0,0,0
2001,2001-03-16,2001-04-14,29,2,2721,45.2,0,24.7,10.3,76,4.1,0,2.054653791,0,0,0,0,0
2001,2001-04-16,2001-05-14,28,2,2751,12.7,0,0,6.4,40.3,6.4,0,0,0,0,0,0,0
2001,2001-05-16,2001-06-14,29,17,2782,8.2,0,6.2,0,10.3,2.1,0,4.109307582,2.054653791,0,0,0,0
2001,2001-07-01,2001-07-30,29,2,2828,0.5,0,5.1,0,44.7,0.5,0,1.540990343,0,0,0,0,0
2001,2001-08-01,2001-08-30,29,2,2859,1.5,0,2.1,0,7.2,2.1,0,0.513663448,0,0,0,0,0
2001,2001-09-01,2001-09-29,28,2,2889,8.5,1.3,11.5,0.4,25.9,3,0,3.397027601,0,0,0,0.42462845,0
2001,2001-10-01,2001-10-30,29,2,2920,6.2,1.2,8.2,0,15.6,0.4,0,2.465584549,0,0,0,0,0.821861516
2001,2001-11-01,2001-11-29,28,2,2950,29.7,0,6.4,2.1,31.8,2.1,2.123142251,8.492569002,0,0,0,0,0
2001,2001-12-01,2001-12-30,29,17,2981,8.2,0,8.2,2.1,28.8,6.2,2.054653791,4.109307582,0,0,0,0,0
2002,2002-01-16,2002-02-14,29,2,3027,39,18.5,12.3,41.1,326.7,4.1,0,0,0,0,0,0,0
2002,2002-02-16,2002-03-14,26,2,3055,102.4,11.4,75.1,66,229.8,0,0,0,0,0,0,0,4.549590537
2002,2002-03-16,2002-04-14,29,2,3086,135.6,6.2,195.2,53.4,199.3,0,0,2.054653791,4.109307582,0,0,0,0
2002,2002-04-16,2002-05-14,28,2,3116,184.7,10.6,125.3,25.5,150.7,2.1,0,2.123142251,2.123142251,2.123142251,0,0,0
2002,2002-05-16,2002-06-14,29,2,3147,74,4.1,32.9,12.3,61.6,0,0,0,0,0,0,0,0
