"year","open","close","period","next_open","cum_days","O_uni","G_rubw","G_cal","G_bul","G_fal","T_qui","N_pac","N_inc","N_dut","G_inf","G_sci","G_glu","G_tru"
1998,1998-03-16,1998-04-09,24,1,199,40.81632653,0,3.265306122,189.3877551,0,251.4285714,63.26530612,728.1632653,58.7755102,170.6122449,19.59183673,40,91.83673469
1998,1998-04-10,1998-04-24,14,1,214,10.96774194,0,0.64516129,67.74193548,0,58.06451613,15.48387097,276.1290323,12.90322581,102.5806452,5.161290323,13.5483871,27.74193548
1998,1998-04-25,1998-05-10,15,1,230,10.32258065,0,0,217.4193548,0.64516129,0,64.51612903,685.8064516,10.32258065,230.3225806,8.387096774,56.12903226,45.80645161
1998,1998-05-11,1998-05-25,14,1,245,15.91397849,0,1.290322581,217.2043011,3.440860215,34.40860215,41.29032258,732.9032258,24.08602151,116.9892473,3.440860215,111.827957,46.88172043
1998,1998-05-26,1998-06-10,15,1,261,8.387096774,0,0,87.09677419,2.580645161,7.741935484,23.22580645,374.1935484,0,147.0967742,0,131.6129032,50.96774194
1998,1998-06-11,1998-06-25,14,1,276,7.096774194,0,0.64516129,34.19354839,0,2.580645161,7.741935484,160,2.580645161,80.64516129,1.290322581,103.8709677,32.90322581
1998,1998-06-26,1998-07-11,15,1,292,7.096774194,0,1.290322581,25.80645161,1.290322581,10.32258065,15.48387097,92.90322581,0,85.16129032,0,98.06451613,54.83870968
1998,1998-07-12,1998-07-26,14,1,307,10.32258065,0,0,25.80645161,1.290322581,5.161290323,5.161290323,25.80645161,0,36.77419355,2.580645161,23.22580645,45.16129032
1998,1998-07-27,1998-08-11,15,1,323,3.870967742,0,0,14.83870968,0,5.161290323,2.580645161,15.48387097,0.64516129,21.29032258,0.64516129,17.41935484,56.12903226
1998,1998-08-12,1998-08-26,14,1,338,7.741935484,0,0,18.70967742,0,3.870967742,0,12.25806452,0.64516129,13.5483871,1.290322581,11.61290323,38.70967742
1998,1998-08-27,1998-09-11,15,1,354,3.870967742,0,0.64516129,34.19354839,1.290322581,1.935483871,1.935483871,13.5483871,0.64516129,17.41935484,3.225806452,8.387096774,47.09677419
1998,1998-09-12,1998-09-26,14,1,369,10.75268817,0,0.430107527,98.06451613,4.731182796,2.150537634,0.430107527,3.010752688,0,9.462365591,0.860215054,10.32258065,26.66666666
1998,1998-09-27,1998-10-12,15,1,385,14.83870968,0,0,483.2258065,12.90322581,14.19354839,0,12.90322581,0,65.80645161,0,36.12903226,48.38709677
1998,1998-10-13,1998-10-27,14,1,400,11.61290323,0,0,603.2258065,23.22580645,18.06451613,0,25.80645161,0,160.6451613,10.96774194,72.25806452,39.35483871
1998,1998-10-28,1998-11-12,15,1,416,3.225806452,0,0,364.516129,15.48387097,105.8064516,5.161290323,95.48387097,0,118.7096774,3.225806452,72.90322581,55.48387097
1998,1998-11-13,1998-11-27,14,1,431,3.225806452,0,0,140.6451613,3.870967742,74.83870968,6.451612903,76.12903226,0,33.5483871,15.48387097,58.70967742,45.16129032
1998,1998-11-28,1998-12-13,15,1,447,0,0,0,47.09677419,0,12.25806452,1.290322581,18.06451613,0,14.83870968,34.83870968,18.70967742,20
1998,1998-12-14,1998-12-28,14,1,462,1.935483871,0,0,10.32258065,0.64516129,15.48387097,0,3.870967742,0,1.935483871,12.90322581,23.87096774,11.61290323
1998,1998-12-29,1999-01-13,15,1,478,1.290322581,0,0,18.70967742,0,12.25806452,0,5.161290323,0,6.451612903,6.451612903,9.677419355,2.580645161
1999,1999-01-14,1999-01-28,14,NA,493,5.806451613,0,0,96.12903226,0.64516129,97.41935484,8.387096774,85.16129032,0.64516129,12.25806452,5.161290323,11.61290323,6.451612903
