"year","open","close","period","next_open","cum_days","N_pac","N_inc","T_qui","G_glu","G_bul","O_uni","G_sci"
1984,1984-03-06,1984-03-21,15,1,545,3,3,4,3,0,0,0
1984,1984-03-22,1984-04-06,15,1,561,13,4,80,5,0,0,0
1984,1984-04-07,1984-04-22,15,21,577,61,19,606,61,2,0,0
1984,1984-05-13,1984-05-26,13,1,611,305,30,2857,84,99,0,4
1984,1984-05-27,1984-06-09,13,1,625,168,34,583,61,42,0,0
1984,1984-06-10,1984-06-23,13,1,639,46,11,194,50,19,0,8
1984,1984-06-24,1984-07-07,13,1,653,122,30,206,53,27,0,23
1984,1984-07-08,1984-07-21,13,1,667,57,11,91,42,11,0,4
1984,1984-07-22,1984-08-04,13,1,681,42,4,23,4,8,0,0
1984,1984-08-05,1984-08-08,3,1,685,107,13,27,0,13,0,13
1984,1984-08-09,1984-08-12,3,1,689,147,0,13,67,27,0,27
1984,1984-08-13,1984-08-16,3,1,693,200,13,27,13,80,0,0
1984,1984-08-17,1984-08-20,3,1,697,53,0,27,0,0,0,0
1984,1984-08-21,1984-08-23,2,89,700,53,0,0,0,18,0,18
1984,1984-11-20,1984-12-01,11,1,800,13,94,51,33,3,1,0
1984,1984-12-02,1984-12-13,11,1,812,34,246,193,245,24,2,3
1984,1984-12-14,1984-12-25,11,1,824,79,7,79,2,9,0,1
1984,1984-12-26,1985-01-07,12,13,837,314,196,89,111,3,0,1
1985,1985-01-20,1985-01-31,11,1,861,281,63,31,70,7,0,0
1985,1985-02-01,1985-02-12,11,1,873,149,28,9,27,2,0,0
1985,1985-02-13,1985-02-24,11,1,885,34,2,3,3,0,0,0
1985,1985-02-25,1985-03-08,11,1,897,27,2,12,6,0,0,2
1985,1985-03-09,1985-03-20,11,1,909,147,12,159,6,0,0,1
1985,1985-03-21,1985-04-01,11,1,921,3586,68,2500,41,26,0,2
1985,1985-04-02,1985-04-13,11,27,933,5060,182,8396,165,408,9,4
1985,1985-05-10,1985-05-23,13,1,973,5101,137,16606,339,476,0,19
1985,1985-05-24,1985-06-06,13,1,987,2880,30,3497,217,172,0,30
1985,1985-06-07,1985-06-20,13,1,1001,1341,84,5219,968,198,0,23
1985,1985-06-21,1985-07-04,13,1,1015,571,57,1950,335,42,0,8
1985,1985-07-05,1985-07-18,13,1,1029,731,233,1375,530,167,15,11
1985,1985-07-19,1985-08-01,13,1,1043,518,183,1101,495,152,8,19
1985,1985-08-02,1985-08-15,13,1,1057,80,42,350,91,34,15,8
1985,1985-08-16,1985-08-29,13,1,1071,61,46,556,118,84,88,4
1985,1985-08-30,1985-09-12,13,1,1085,61,65,480,95,61,122,19
1985,1985-09-13,1985-09-26,13,1,1099,15,31,175,34,0,34,8
1985,1985-09-27,1985-10-10,13,1,1113,15,15,50,8,8,149,4
1985,1985-10-11,1985-10-24,13,20,1127,95,2129,210,23,8,156,4
1985,1985-11-13,1985-11-25,12,1,1159,1834,156,1346,156,254,0,4
1985,1985-11-26,1985-12-08,12,1,1172,5785,2236,4550,102,624,16,29
1985,1985-12-09,1985-12-22,13,1,1186,1474,1745,4027,594,1162,0,8
1985,1985-12-23,1986-01-04,12,1,1199,948,1830,5067,886,1231,115,0
1986,1986-01-05,1986-01-18,13,1,1213,267,141,1059,198,324,76,4
1986,1986-01-19,1986-01-31,12,100,1226,316,62,587,176,176,86,8
1986,1986-05-11,1986-05-24,13,1,1339,65,6617,2404,720,8,69,0
1986,1986-05-25,1986-06-07,13,1,1353,50,4465,4728,1097,8,88,0
1986,1986-06-08,1986-06-21,13,1,1367,72,682,1406,895,4,27,0
1986,1986-06-22,1986-07-05,13,15,1381,27,149,990,453,0,11,4
1986,1986-07-20,1986-08-02,13,15,1409,11,80,221,156,0,0,0
1986,1986-08-17,1986-08-30,13,NA,1437,1295,206,3162,488,377,0,8
