"year","open","close","period","next_open","cum_days","G_bul","G_con","G_cra","B_dig","N_dut","G_fal","G_glu","G_hir","T_hum","G_inf","P_obl","N_inc","H_pel","T_qui","G_rubp","G_rubw","G_rus","G_sac","G_sci","G_sip","G_ten","O_uni","G_tru"
2003,2003-06-01,2003-06-16,15,0,477,5.5,0,0,0,0,2,6.5,1,0.5,1,0,0,0,0.5,0,11,1,3.5,6,5.5,0,1,1
2003,2003-06-16,2003-07-01,15,0,492,4.8,0,0,0,0,5.3,5.3,1.6,0,0,0,0,1.1,7.5,0,16.5,1,2.7,3.7,1.6,0,1.1,0
2003,2003-07-01,2003-08-01,31,0,523,0.3,0,0,0,0,5.8,6.8,0.3,0,0,0,0.5,0.8,4.8,0.3,7.8,4.3,1.3,0.5,6,0,1.3,0
2003,2003-08-01,2003-09-01,31,0,554,1.8,0,0,0.8,0.3,7,10,0,0,0,0,0.3,0.5,8.3,2.3,20.8,10.8,0.8,2.8,7,0.3,0.8,0
2003,2003-09-01,2003-10-01,30,0,584,3.1,0,0,0.3,0,4.4,12.1,0,0,0.3,0,0.3,0,5.7,3.4,57.8,10.5,3.9,1,3.1,0.8,1.8,0.3
2003,2003-10-01,2003-11-01,31,0,615,2.3,3.8,0,0,0,3,20.8,0,0,0,0,0,0,2.5,3,81.5,8,4.8,0.3,3.3,3.3,0.5,0
2003,2003-11-01,2003-12-01,30,0,645,0.5,0,0,0,0,5.4,26.1,0,0,0,0,0,0,3.4,4.9,95.7,12.9,8.8,0.3,5.2,6.5,1.3,0
2003,2003-12-01,2004-01-01,31,0,676,0.3,0,0,0,0,0.3,7,0,4.3,0,0,0.3,0,1,0.8,14.3,3,1.5,0,2.5,1,0,1.8
2004,2004-01-01,2004-01-16,15,0,691,1.5,0,0,0,0,12,47,0,0.5,0,0,0,0,5,7,128.5,17.5,17.5,0,5.5,5,2,1
2004,2004-01-16,2004-02-01,16,0,707,12,0,0,0,0,10.5,28,0,55,0,0,0,0,6,1,32.5,5.5,2.5,0.5,6.5,2.5,0.5,38
2004,2004-02-01,2004-02-16,15,0,722,12,0,0,0,0,13.5,26.5,0.5,37.5,0,0.5,0.5,0,2.5,0.5,29.5,3.5,8.5,2,7.5,1.5,0.5,21
2004,2004-02-16,2004-03-01,14,0,736,3.4,0,0,0,0,4.6,2.3,0,9.1,0.6,0,0.6,0,0,0,6.3,0.6,0.6,1.1,4,0,0.6,2.3
2004,2004-03-01,2004-03-16,15,0,751,2,0,1,0,0,11.5,7.5,0,4.5,0.5,0,0,0,2,0,9,2.5,3,1,5,0.5,0,5
2004,2004-03-16,2004-04-01,16,NA,767,3.5,0,0,0,0,4.5,6.5,0.5,16.5,0.5,0,0.5,0,0,0.5,11.5,1.5,2.5,0.5,3,0.5,0,4
