"year","open","close","period","next_open","cum_days","G_bul","G_sip","N_inc","G_inf","G_sac","G_tru","O_uni","N_pac","G_rubw","G_rubp","G_glu","T_qui","B_dig"
1995,1995-09-01,1995-09-15,14,1,699,0,0,12.7,4.2,25.5,12.7,0,0,0,0,0,0,4.246284501
1995,1995-09-16,1995-09-30,14,1,714,0,0,29.7,4.2,8.5,12.7,8.5,0,0,0,0,0,0
1995,1995-10-01,1995-10-15,14,1,729,12.7,0,17,8.5,4.2,4.2,4.2,0,0,0,0,0,0
1995,1995-10-16,1995-10-31,15,1,745,4,0,11.9,8,15.9,11.9,4,0,0,0,0,0,0
1995,1995-11-01,1995-11-15,14,1,760,0,0,25.5,0,4.2,8.5,0,0,0,0,0,0,0
1995,1995-11-16,1995-11-30,14,16,775,4.2,0,17,0,12.7,8.5,12.7,0,0,0,0,0,0
1995,1995-12-16,1995-12-31,15,1,806,4,0,43.8,63.7,0,23.9,0,0,0,0,4,0,0
1996,1996-01-01,1996-01-15,14,1,821,9.6,3.2,3.2,0,0,101.9,0,0,0,0,6.4,0,0
1996,1996-01-16,1996-01-31,15,1,837,31.8,0,0,8,0,111.5,0,0,0,0,0,4,0
1996,1996-02-01,1996-02-15,14,1,852,51,0,59.4,89.2,0,46.7,0,0,0,0,0,0,0
1996,1996-02-16,1996-02-29,13,1,866,118.3,0,118.3,95.5,0,40.9,4.5,0,0,0,0,0,0
1996,1996-03-01,1996-03-15,14,1,881,1108.3,8.5,458.6,789.8,12.7,208.1,8.5,0,4.2,0,4.2,0,0
1996,1996-03-16,1996-03-31,15,1,897,215,0,123.4,258.8,0,99.5,4,0,0,0,4,0,0
1996,1996-04-01,1996-04-15,14,1,912,135.9,0,110.4,174.1,0,93.4,0,0,0,0,4.2,0,0
1996,1996-04-16,1996-04-30,14,1,927,110.4,0,55.2,29.7,0,55.2,0,0,0,0,0,0,4.246284501
1996,1996-05-01,1996-05-15,14,1,942,67.9,0,63.7,76.4,0,25.5,0,0,0,0,4.2,0,0
1996,1996-05-16,1996-05-31,15,1,958,51.8,0,71.7,71.7,0,11.9,4,0,0,0,0,0,0
1996,1996-06-01,1996-06-15,14,31,973,157.1,4.2,80.7,89.2,0,46.7,0,0,0,0,4.2,0,0
1996,1996-07-16,1996-07-31,15,32,1019,8,4,8,0,0,0,4,0,0,0,0,0,0
1996,1996-09-01,1996-09-15,14,1,1065,12.7,0,4.2,0,0,8.5,12.7,0,0,0,0,0,4.246284501
1996,1996-09-16,1996-09-30,14,1,1080,4.2,0,0,0,4.2,12.7,8.5,0,8.5,0,0,0,0
1996,1996-10-01,1996-10-15,14,1,1095,29.7,4.2,25.5,0,0,8.5,4.2,0,8.5,0,0,0,0
1996,1996-10-16,1996-10-31,15,1,1111,11.9,0,0,0,0,23.9,4,0,0,0,0,0,0
1996,1996-11-01,1996-11-15,14,1,1126,4.2,0,0,0,0,8.5,0,0,0,0,4.2,0,0
