year,open,close,period,next_open,cum_days,G_bul,G_fal,G_rus,G_cal,G_sip,B_dig,G_ada,H_dig,G_rubw,G_sac,G_con,O_uni,S_deh,G_hex,N_dut,N_pac,N_inc,G_coa,P_obl,G_glu,G_uvu,G_men,G_ung,G_tum,G_hir,G_the,G_sci
2001,14/12/01,29/12/01,15,1,413,0,2,0,0,10,0,0,0,24,2,0,0,0,0,4,0,0,0,4,0,0,2,0,0,0,0,2
2001,30/12/01,14/01/02,15,1,429,4,2,0,2,6,0,0,0,16,2,4,0,0,2,4,0,0,2,6,0,0,8,0,0,0,6,10
2002,15/01/02,30/01/02,15,1,445,0,0,0,0,12,0,0,0,12,2,0,0,0,0,2,0,6,4,10,0,0,0,0,6,0,2,0
2002,31/01/02,15/02/02,15,1,461,0,4,0,6,2,0,0,0,110,14,2,0,0,0,18,0,2,2,6,2,0,40,0,4,0,2,4
2002,16/02/02,03/03/02,15,1,477,8,4,4,8,4,0,0,0,132,30,4,0,0,2,20,0,8,8,10,12,4,16,0,0,0,4,4
2002,04/03/02,19/03/02,15,1,493,0,0,0,2,20,0,0,0,54,12,2,4,0,0,6,0,2,4,24,4,2,106,0,18,0,2,6
2002,20/03/02,04/04/02,15,1,509,10,0,0,4,54,0,0,0,36,4,2,2,0,2,2,0,0,0,48,0,0,32,0,6,0,2,4
2002,05/04/02,20/04/02,15,1,525,6,2,6,24,38,0,4,4,180,20,2,0,0,16,126,0,2,8,46,30,0,90,0,6,0,2,2
2002,21/04/02,06/05/02,15,1,541,2,2,0,8,18,0,0,0,58,16,0,0,0,0,48,0,0,0,26,4,0,28,0,0,0,8,12
2002,07/05/02,22/05/02,15,1,557,12,2,4,14,16,0,8,0,82,28,2,6,2,0,74,2,0,0,50,18,2,16,0,2,0,8,2
2002,23/05/02,07/06/02,15,1,573,4,2,2,6,14,0,2,0,74,16,2,2,0,4,46,0,4,2,8,8,0,6,0,0,0,10,0
2002,08/06/02,23/06/02,15,1,589,16,2,18,10,24,0,4,0,156,22,0,6,0,4,52,0,18,2,12,16,2,12,0,0,2,14,8
2002,24/06/02,09/07/02,15,1,605,40,10,42,18,26,0,8,0,252,38,0,0,0,4,86,0,76,12,78,50,2,168,4,18,4,10,16
2002,10/07/02,25/07/02,15,1,621,56,40,20,44,144,0,4,0,344,212,16,16,28,20,188,4,184,48,416,56,0,76,0,0,0,4,20
2002,26/07/02,10/08/02,15,1,637,64,24,36,40,88,0,0,0,316,68,4,8,12,12,88,0,100,36,124,84,0,624,0,152,4,8,36
2002,11/08/02,26/08/02,15,1,653,360,56,116,44,148,0,0,0,352,124,0,0,0,20,212,8,216,20,144,168,4,60,12,8,4,4,8
2002,27/08/02,11/09/02,15,1,669,128,28,84,64,56,0,16,0,228,36,0,12,8,8,188,0,264,24,100,188,4,212,0,72,0,0,8
2002,12/09/02,27/09/02,15,1,685,660,24,212,48,100,0,0,0,316,136,8,0,4,44,428,20,836,44,148,532,4,104,0,16,0,0,12
2002,28/09/02,13/10/02,15,1,701,136,10,60,14,60,0,6,0,162,24,0,0,0,8,126,0,184,20,16,184,0,12,0,4,0,6,22
2002,14/10/02,29/10/02,15,1,717,220,28,108,24,80,0,20,0,312,52,0,0,0,0,116,0,296,4,20,288,0,156,0,8,12,16,28
2002,30/10/02,14/11/02,15,3,733,310,8,216,8,56,4,20,4,260,46,2,0,0,10,50,4,162,10,28,234,0,224,0,2,0,10,42
2002,17/11/02,13/12/02,26,1,762,5,1,9,15,7,0,2,0,29,6,0,1,0,1,8,0,8,1,5,24,0,22,0,0,0,1,2
2002,14/12/02,30/12/02,16,1,779,6,6,8,8,11,2,0,0,28,2,0,0,0,0,4,0,8,2,6,21,0,19,0,0,0,0,0
2002,31/12/02,16/01/03,16,1,796,8,9,6,9,6,0,2,0,19,11,0,2,0,0,9,2,17,9,2,36,0,13,0,0,0,0,4
2003,17/01/03,02/02/03,16,1,813,28,6,9,28,53,9,8,0,87,6,0,4,2,2,30,0,38,15,38,36,0,224,0,2,0,2,0
2003,03/02/03,19/02/03,16,1,830,19,4,11,26,23,0,0,0,83,23,0,4,0,0,26,4,11,4,11,34,0,4,0,0,0,0,0
2003,20/02/03,08/03/03,16,1,847,11,15,8,11,11,0,0,0,41,8,0,8,0,0,4,0,11,0,0,11,0,8,0,4,0,4,0
2003,09/03/03,25/03/03,16,1,864,23,11,19,34,23,0,0,0,173,26,0,19,0,11,72,0,38,8,30,45,0,23,0,0,0,4,0
2003,26/03/03,16/04/03,21,1,886,9,1,1,9,10,0,0,0,20,4,0,1,0,0,15,0,15,0,9,4,0,61,0,0,0,3,0
2003,17/04/03,28/04/03,11,1,898,3,21,3,8,32,0,0,0,32,8,0,3,0,0,3,3,5,0,0,5,0,27,0,0,0,0,0
2003,29/04/03,15/05/03,16,1,915,38,0,4,8,4,0,0,0,23,0,0,0,0,0,4,0,11,0,4,8,0,4,4,0,0,0,0
2003,16/05/03,01/06/03,16,1,932,13,8,2,4,8,0,0,0,53,11,0,6,0,0,17,0,9,0,6,4,6,11,0,0,0,8,2
2003,02/06/03,18/06/03,16,1,949,113,8,0,45,45,8,0,0,181,60,0,15,0,0,60,0,60,0,60,30,0,15,0,0,0,0,23
2003,19/06/03,05/07/03,16,NA,966,648,38,23,83,30,8,0,0,68,38,0,0,0,8,241,0,120,0,256,68,0,23,0,0,0,0,0
